"aisle_id","aisle","_op","_ts_ms","load_ts"
120,yogurt,c,0,1970-01-01 01:00:00.000 +0100
108,other creams cheeses,c,0,1970-01-01 01:00:00.000 +0100
83,fresh vegetables,c,0,1970-01-01 01:00:00.000 +0100
95,canned meat seafood,c,0,1970-01-01 01:00:00.000 +0100
24,fresh fruits,c,0,1970-01-01 01:00:00.000 +0100
21,packaged cheese,c,0,1970-01-01 01:00:00.000 +0100
117,nuts seeds dried fruit,c,0,1970-01-01 01:00:00.000 +0100
123,packaged vegetables fruits,c,0,1970-01-01 01:00:00.000 +0100
19,oils vinegars,c,0,1970-01-01 01:00:00.000 +0100
116,frozen produce,c,0,1970-01-01 01:00:00.000 +0100
16,fresh herbs,c,0,1970-01-01 01:00:00.000 +0100
115,water seltzer sparkling water,c,0,1970-01-01 01:00:00.000 +0100
31,refrigerated,c,0,1970-01-01 01:00:00.000 +0100
71,refrigerated pudding desserts,c,0,1970-01-01 01:00:00.000 +0100
81,canned jarred vegetables,c,0,1970-01-01 01:00:00.000 +0100
91,soy lactosefree,c,0,1970-01-01 01:00:00.000 +0100
78,crackers,c,0,1970-01-01 01:00:00.000 +0100
106,hot dogs bacon sausage,c,0,1970-01-01 01:00:00.000 +0100
129,frozen appetizers sides,c,0,1970-01-01 01:00:00.000 +0100
36,butter,c,0,1970-01-01 01:00:00.000 +0100
67,fresh dips tapenades,c,0,1970-01-01 01:00:00.000 +0100
59,canned meals beans,c,0,1970-01-01 01:00:00.000 +0100
37,ice cream ice,c,0,1970-01-01 01:00:00.000 +0100
74,dish detergents,c,0,1970-01-01 01:00:00.000 +0100
84,milk,c,0,1970-01-01 01:00:00.000 +0100
99,canned fruit applesauce,c,0,1970-01-01 01:00:00.000 +0100
96,lunch meat,c,0,1970-01-01 01:00:00.000 +0100
2,specialty cheeses,c,0,1970-01-01 01:00:00.000 +0100
34,frozen meat seafood,c,0,1970-01-01 01:00:00.000 +0100
17,baking ingredients,c,0,1970-01-01 01:00:00.000 +0100
75,laundry,c,0,1970-01-01 01:00:00.000 +0100
69,soup broth bouillon,c,0,1970-01-01 01:00:00.000 +0100
72,condiments,c,0,1970-01-01 01:00:00.000 +0100
98,juice nectars,c,0,1970-01-01 01:00:00.000 +0100
128,tortillas flat bread,c,0,1970-01-01 01:00:00.000 +0100
25,soap,c,0,1970-01-01 01:00:00.000 +0100
111,plates bowls cups flatware,c,0,1970-01-01 01:00:00.000 +0100
85,food storage,c,0,1970-01-01 01:00:00.000 +0100
54,paper goods,c,0,1970-01-01 01:00:00.000 +0100
32,packaged produce,c,0,1970-01-01 01:00:00.000 +0100
45,candy chocolate,c,0,1970-01-01 01:00:00.000 +0100
48,breakfast bars pastries,c,0,1970-01-01 01:00:00.000 +0100
56,diapers wipes,c,0,1970-01-01 01:00:00.000 +0100
9,pasta sauce,c,0,1970-01-01 01:00:00.000 +0100
12,fresh pasta,c,0,1970-01-01 01:00:00.000 +0100
52,frozen breakfast,c,0,1970-01-01 01:00:00.000 +0100
114,cleaning products,c,0,1970-01-01 01:00:00.000 +0100
53,cream,c,0,1970-01-01 01:00:00.000 +0100
6,other,c,0,1970-01-01 01:00:00.000 +0100
107,chips pretzels,c,0,1970-01-01 01:00:00.000 +0100
66,asian foods,c,0,1970-01-01 01:00:00.000 +0100
86,eggs,c,0,1970-01-01 01:00:00.000 +0100
130,hot cereal pancake mixes,c,0,1970-01-01 01:00:00.000 +0100
112,bread,c,0,1970-01-01 01:00:00.000 +0100
79,frozen pizza,c,0,1970-01-01 01:00:00.000 +0100
105,doughs gelatins bake mixes,c,0,1970-01-01 01:00:00.000 +0100
20,oral hygiene,c,0,1970-01-01 01:00:00.000 +0100
121,cereal,c,0,1970-01-01 01:00:00.000 +0100
100,missing,c,0,1970-01-01 01:00:00.000 +0100
15,packaged seafood,c,0,1970-01-01 01:00:00.000 +0100
77,soft drinks,c,0,1970-01-01 01:00:00.000 +0100
64,energy sports drinks,c,0,1970-01-01 01:00:00.000 +0100
68,bulk grains rice dried goods,c,0,1970-01-01 01:00:00.000 +0100
93,breakfast bakery,c,0,1970-01-01 01:00:00.000 +0100
8,bakery desserts,c,0,1970-01-01 01:00:00.000 +0100
43,buns rolls,c,0,1970-01-01 01:00:00.000 +0100
131,dry pasta,c,0,1970-01-01 01:00:00.000 +0100
122,meat counter,c,0,1970-01-01 01:00:00.000 +0100
60,trash bags liners,c,0,1970-01-01 01:00:00.000 +0100
26,coffee,c,0,1970-01-01 01:00:00.000 +0100
94,tea,c,0,1970-01-01 01:00:00.000 +0100
38,frozen meals,c,0,1970-01-01 01:00:00.000 +0100
27,beers coolers,c,0,1970-01-01 01:00:00.000 +0100
35,poultry counter,c,0,1970-01-01 01:00:00.000 +0100
47,vitamins supplements,c,0,1970-01-01 01:00:00.000 +0100
104,spices seasonings,c,0,1970-01-01 01:00:00.000 +0100
14,tofu meat alternatives,c,0,1970-01-01 01:00:00.000 +0100
88,spreads,c,0,1970-01-01 01:00:00.000 +0100
42,frozen vegan vegetarian,c,0,1970-01-01 01:00:00.000 +0100
51,preserved dips spreads,c,0,1970-01-01 01:00:00.000 +0100
3,energy granola bars,c,0,1970-01-01 01:00:00.000 +0100
92,baby food formula,c,0,1970-01-01 01:00:00.000 +0100
50,fruit vegetable snacks,c,0,1970-01-01 01:00:00.000 +0100
110,pickled goods olives,c,0,1970-01-01 01:00:00.000 +0100
89,salad dressing toppings,c,0,1970-01-01 01:00:00.000 +0100
23,popcorn jerky,c,0,1970-01-01 01:00:00.000 +0100
119,frozen dessert,c,0,1970-01-01 01:00:00.000 +0100
61,cookies cakes,c,0,1970-01-01 01:00:00.000 +0100
46,mint gum,c,0,1970-01-01 01:00:00.000 +0100
41,cat food care,c,0,1970-01-01 01:00:00.000 +0100
13,prepared meals,c,0,1970-01-01 01:00:00.000 +0100
63,grains rice dried goods,c,0,1970-01-01 01:00:00.000 +0100
22,hair care,c,0,1970-01-01 01:00:00.000 +0100
58,frozen breads doughs,c,0,1970-01-01 01:00:00.000 +0100
29,honeys syrups nectars,c,0,1970-01-01 01:00:00.000 +0100
124,spirits,c,0,1970-01-01 01:00:00.000 +0100
28,red wines,c,0,1970-01-01 01:00:00.000 +0100
62,white wines,c,0,1970-01-01 01:00:00.000 +0100
5,marinades meat preparation,c,0,1970-01-01 01:00:00.000 +0100
126,feminine care,c,0,1970-01-01 01:00:00.000 +0100
55,shave needs,c,0,1970-01-01 01:00:00.000 +0100
30,latino foods,c,0,1970-01-01 01:00:00.000 +0100
1,prepared soups salads,c,0,1970-01-01 01:00:00.000 +0100
4,instant foods,c,0,1970-01-01 01:00:00.000 +0100
57,granola,c,0,1970-01-01 01:00:00.000 +0100
49,packaged poultry,c,0,1970-01-01 01:00:00.000 +0100
125,trail mix snack mix,c,0,1970-01-01 01:00:00.000 +0100
76,indian foods,c,0,1970-01-01 01:00:00.000 +0100
97,baking supplies decor,c,0,1970-01-01 01:00:00.000 +0100
7,packaged meat,c,0,1970-01-01 01:00:00.000 +0100
80,deodorants,c,0,1970-01-01 01:00:00.000 +0100
103,ice cream toppings,c,0,1970-01-01 01:00:00.000 +0100
87,more household,c,0,1970-01-01 01:00:00.000 +0100
101,air fresheners candles,c,0,1970-01-01 01:00:00.000 +0100
11,cold flu allergy,c,0,1970-01-01 01:00:00.000 +0100
127,body lotions soap,c,0,1970-01-01 01:00:00.000 +0100
134,specialty wines champagnes,c,0,1970-01-01 01:00:00.000 +0100
102,baby bath body care,c,0,1970-01-01 01:00:00.000 +0100
109,skin care,c,0,1970-01-01 01:00:00.000 +0100
133,muscles joints pain relief,c,0,1970-01-01 01:00:00.000 +0100
65,protein meal replacements,c,0,1970-01-01 01:00:00.000 +0100
90,cocoa drink mixes,c,0,1970-01-01 01:00:00.000 +0100
40,dog food care,c,0,1970-01-01 01:00:00.000 +0100
70,digestion,c,0,1970-01-01 01:00:00.000 +0100
33,kosher foods,c,0,1970-01-01 01:00:00.000 +0100
39,seafood counter,c,0,1970-01-01 01:00:00.000 +0100
44,eye ear care,c,0,1970-01-01 01:00:00.000 +0100
113,frozen juice,c,0,1970-01-01 01:00:00.000 +0100
118,first aid,c,0,1970-01-01 01:00:00.000 +0100
10,kitchen supplies,c,0,1970-01-01 01:00:00.000 +0100
18,bulk dried fruits vegetables,c,0,1970-01-01 01:00:00.000 +0100
73,facial care,c,0,1970-01-01 01:00:00.000 +0100
82,baby accessories,c,0,1970-01-01 01:00:00.000 +0100
132,beauty,c,0,1970-01-01 01:00:00.000 +0100
